Contrast,Dissimilarity,Energy,ASM,Correlation
[56.19519274],[4.30418363],[0.02654091],[0.00070952],[0.98670425]
[3.2788728],[1.17338008],[0.1614588],[0.02608046],[0.99784236]
[52.95900871],[4.27155618],[0.02693378],[0.00073025],[0.98769631]
[3.31050062],[1.19518935],[0.14888536],[0.02217886],[0.99781327]
[30.61991865],[3.63901033],[0.02871304],[0.00083103],[0.98833424]
[3.10160101],[1.19072158],[0.12049232],[0.01452984],[0.99779993]
[60.21772579],[4.47300209],[0.02590669],[0.0006755],[0.9862644]
[3.15528016],[1.21512239],[0.11277268],[0.01273047],[0.99754602]
[56.83893651],[4.33143862],[0.02737706],[0.00075416],[0.98720544]
[2.97586391],[1.16059836],[0.11742443],[0.01380138],[0.99764942]
[57.44818582],[4.37875416],[0.02644033],[0.0007034],[0.98699038]
[3.01654544],[1.13389544],[0.15529714],[0.02414163],[0.99783318]
[49.52969309],[4.22975442],[0.02636476],[0.00069988],[0.98881811]
[3.02108731],[1.13806871],[0.15494798],[0.02402565],[0.99782964]
[55.12562182],[4.23736057],[0.02625143],[0.00069312],[0.98674125]
[3.01860585],[1.13810116],[0.15325305],[0.02350242],[0.99781068]
[50.31925765],[4.16295606],[0.02802335],[0.00079015],[0.98747818]
[3.0082683],[1.11621729],[0.1367218],[0.01870523],[0.99781364]
[51.7393011],[4.12463793],[0.0268339],[0.00072455],[0.98730906]
[2.9262075],[1.10780223],[0.14229091],[0.02025871],[0.99784198]
[61.99458431],[4.47617972],[0.02467147],[0.00061217],[0.98446986]
[2.92684312],[1.10428917],[0.14887278],[0.0221737],[0.99782301]
[54.3592705],[4.38181626],[0.03501087],[0.00123863],[0.97214497]
[53.54209554],[4.28393429],[0.03294562],[0.00109572],[0.97048223]
[51.53858854],[4.25459891],[0.03431904],[0.00118769],[0.97033842]
[50.04600421],[4.22132894],[0.03365294],[0.00114152],[0.9711158]
[40.0047573],[3.77211225],[0.03421323],[0.00117993],[0.9793388]
