Contrast,Dissimilarity,Energy,ASM,Correlation
[1571.46077369],[28.74183938],[0.01282973],[0.0001647],[0.67422938]
[168.73802608],[9.10042646],[0.11162036],[0.01247822],[0.89026103]
[1475.18244399],[27.27449103],[0.01302577],[0.00016973],[0.69359935]
[171.85758269],[9.2313192],[0.10977865],[0.01206723],[0.88622823]
[1449.74673409],[27.17661282],[0.01291371],[0.00016703],[0.71302625]
[154.48478212],[8.89692563],[0.07004849],[0.00492215],[0.8917887]
[1458.32092408],[27.54214127],[0.01273867],[0.00016242],[0.69117497]
[162.78252058],[9.32858775],[0.06240043],[0.00391137],[0.87405995]
[1493.40316451],[27.67633934],[0.01336027],[0.00017926],[0.69829086]
[146.26409392],[8.34421388],[0.15245701],[0.02327674],[0.89857209]
[1659.85809131],[29.66441128],[0.0129999],[0.00016964],[0.66481608]
[152.51339067],[8.64489399],[0.13990549],[0.01959589],[0.89301089]
[1484.91679749],[27.56815715],[0.01355462],[0.00018437],[0.70140982]
[152.0241539],[8.69124855],[0.13930641],[0.01942335],[0.89201334]
[1495.34582453],[27.96331264],[0.01258352],[0.00015877],[0.6974682]
[156.26473778],[8.76314765],[0.14454703],[0.02091876],[0.89014871]
[1230.43389203],[25.79024088],[0.01367687],[0.00018712],[0.57283297]
[140.31637698],[8.44231132],[0.060967],[0.00377482],[0.89613183]
[1291.43830237],[26.19948658],[0.01385863],[0.00019222],[0.55108209]
[138.55814257],[8.35150097],[0.06118631],[0.00381254],[0.89708068]
[1505.48593045],[27.90666061],[0.01277798],[0.00016333],[0.68795615]
[141.86589573],[8.38708431],[0.06638317],[0.00449629],[0.89600357]
[1527.29157967],[28.19337814],[0.01246615],[0.00015554],[0.69272069]
[136.72635771],[8.19269925],[0.07027374],[0.00503793],[0.90128043]
[1610.99717289],[29.00648146],[0.01261024],[0.00015907],[0.66998257]
[142.06429823],[8.34619454],[0.06987402],[0.00499313],[0.89599875]
[755.22645166],[19.92669956],[0.01573894],[0.00024783],[0.43720961]
[641.95266522],[18.14563065],[0.01705212],[0.00029091],[0.46626374]
[836.37014353],[20.81676053],[0.01520224],[0.00023116],[0.40663468]
[758.46212546],[19.89947191],[0.0152762],[0.00023341],[0.41613601]
[673.46070149],[18.94830044],[0.01545185],[0.00023884],[0.53057744]
[709.00735134],[19.34852567],[0.01711363],[0.00029315],[0.49849284]
[606.00400169],[17.52795061],[0.0180683],[0.00032669],[0.4373258]
[677.31156434],[18.66758494],[0.0161799],[0.00026183],[0.37287936]
[623.7621743],[17.9966976],[0.01728664],[0.00029917],[0.45452069]
[619.21322524],[18.03464336],[0.01662368],[0.00027654],[0.44102229]
[649.07914299],[18.49094184],[0.01691347],[0.00028612],[0.43981447]
[2176.72038872],[35.10827428],[0.00991326],[9.84417822e-05],[0.68431248]
[2381.65627077],[35.39421059],[0.01156102],[0.00013558],[0.63720504]
[2317.59117254],[34.50268794],[0.01079753],[0.00011667],[0.66938367]
[2345.08123429],[34.83253652],[0.01066944],[0.00011403],[0.69093322]
[2459.31144616],[36.49789422],[0.0101504],[0.00010313],[0.67387693]
[2399.84472334],[36.19017404],[0.01014132],[0.00010295],[0.68189103]
[2334.08702939],[35.00699645],[0.01008831],[0.00010189],[0.7644256]
[2261.11896546],[35.28992895],[0.00982732],[9.66594737e-05],[0.71915458]
[1881.1281744],[31.6861856],[0.01238577],[0.00015353],[0.64866821]
[1894.63491006],[31.48394166],[0.01223275],[0.00014979],[0.60229795]
[2047.33754334],[32.91284324],[0.01304494],[0.00017045],[0.7124927]
[2249.54546848],[34.69420238],[0.01115618],[0.00012481],[0.76503554]
[2012.05600884],[33.77844138],[0.00987574],[9.77011783e-05],[0.72060657]
[1707.01507299],[29.27403534],[0.01282974],[0.00016464],[0.58690225]
[1568.86140982],[27.85200211],[0.01293392],[0.00016741],[0.6292191]
[1276.86194963],[24.21783617],[0.01510745],[0.00022833],[0.51282842]
[1498.84253935],[27.2238184],[0.0129282],[0.00016721],[0.64194486]
[1663.5388331],[28.49645761],[0.01261849],[0.00015929],[0.6199005]
[1678.46525169],[28.58541495],[0.01307773],[0.00017103],[0.52851313]
[1719.61909342],[28.52876285],[0.01269552],[0.00016121],[0.57376639]
[1637.98713517],[28.1762624],[0.01287574],[0.0001659],[0.62841396]
[1534.12304696],[27.50689663],[0.01284027],[0.00016502],[0.66601951]
[1556.63119772],[27.65119766],[0.01267726],[0.00016089],[0.63789574]
[1389.37771036],[25.4595452],[0.01386623],[0.00019234],[0.53718424]
[1459.43875913],[26.09693262],[0.01396627],[0.00019509],[0.5927402]
[1445.06876736],[26.48793828],[0.01300216],[0.00016955],[0.70517824]
[628.57548704],[17.54172709],[0.01625958],[0.00026443],[0.43833353]
[599.89170045],[17.27842385],[0.01617515],[0.00026172],[0.46916307]
[685.44526608],[18.49381858],[0.0152342],[0.00023225],[0.49807065]
[601.18685474],[17.14705017],[0.01631336],[0.00026663],[0.61841554]
[543.95088882],[16.08037513],[0.01705203],[0.00029184],[0.7008012]
[659.2790247],[17.87986345],[0.01630323],[0.00026618],[0.48870779]
[543.93671846],[15.95209884],[0.01706165],[0.00029187],[0.68120191]
[591.66491815],[16.75648202],[0.01719134],[0.00029607],[0.61672576]
[497.67612142],[15.52702816],[0.01799583],[0.00032628],[0.71087799]
[533.96708258],[16.00927479],[0.01814068],[0.00033009],[0.64105227]
[564.80435706],[16.27597528],[0.01740168],[0.00030414],[0.62351622]
[517.34352655],[15.78570238],[0.01669707],[0.00027927],[0.68979883]
[552.22046004],[15.3663095],[0.01811583],[0.00032924],[0.71849098]
[559.00073716],[16.17632392],[0.01702204],[0.0002901],[0.67976446]
[613.49255558],[16.33138771],[0.01706093],[0.00029155],[0.66240672]
[536.2182089],[16.06151446],[0.01722862],[0.00029729],[0.64198583]
[1440.68271374],[26.12980793],[0.0140641],[0.00019811],[0.543957]
[1330.61635758],[25.18175306],[0.01637232],[0.00027085],[0.5047436]
[1356.73316354],[25.17717089],[0.01435294],[0.00020609],[0.6000083]
[1416.60470162],[25.45507362],[0.01477398],[0.00021837],[0.60633493]
[1601.45370743],[27.51934897],[0.01692778],[0.00028784],[0.68568135]
[1504.01955628],[25.65976189],[0.02552567],[0.00068181],[0.60547627]
[1481.23218368],[25.52955621],[0.02729291],[0.00080206],[0.66619024]
[1639.91926759],[27.04142076],[0.03321935],[0.00120351],[0.62613551]
[1571.66588718],[26.49251113],[0.03341749],[0.00123794],[0.65822738]
[1819.41670361],[26.76659059],[0.07610673],[0.00619176],[0.7242848]
[1849.15032647],[26.93529353],[0.08218473],[0.00712532],[0.7285941]
[1358.47431478],[25.04151373],[0.02098067],[0.00044481],[0.6431997]
[1473.35434046],[26.40873644],[0.02302436],[0.00056572],[0.54321771]
[1160.44234901],[22.69243588],[0.02074184],[0.0004368],[0.78494233]
[1016.44088458],[21.62671858],[0.01689209],[0.00028734],[0.73724226]
[1097.00282182],[22.65763851],[0.01547321],[0.00023951],[0.60874264]
[1218.69634814],[24.48263119],[0.01462568],[0.00021488],[0.70410468]
[1017.98246913],[21.70581277],[0.01636158],[0.00026781],[0.63535671]
[885.31133261],[19.71259908],[0.01868673],[0.00035043],[0.75188465]
[985.8661791],[20.87412306],[0.01860329],[0.00034701],[0.77597574]
[990.98992089],[21.10533556],[0.01823023],[0.00033329],[0.7751204]
[1177.86102836],[23.19352814],[0.01907305],[0.00036795],[0.74306604]
