Contrast,Dissimilarity,Energy,ASM,Correlation,Deepfake
[1576.8998095],[28.52453628],[0.01075676],[0.00011573],[0.66739216],0
[567.26096246],[16.66359367],[0.01825784],[0.00033385],[0.76905387],0
[1282.07744307],[23.03619246],[0.03505604],[0.00123063],[0.60362732],0
[1144.3431802],[21.59681785],[0.03810158],[0.00145453],[0.55622496],0
[1030.50329858],[20.29987694],[0.04019034],[0.00161858],[0.65544349],0
[996.17284138],[21.45320308],[0.03633707],[0.00132468],[0.58151209],0
[1315.9240413],[24.91913211],[0.02536977],[0.00064492],[0.53080817],0
[1368.84140655],[24.17747533],[0.04269284],[0.00182805],[0.48648996],0
[1580.67707325],[26.50563203],[0.02863409],[0.0008207],[0.39132131],0
[1531.22041621],[26.11437397],[0.03309707],[0.0010969],[0.47899071],0
[1514.07391704],[27.90772891],[0.01085244],[0.00011781],[0.68430074],0
[679.58185745],[18.27788005],[0.01675896],[0.00028101],[0.46450438],0
[1315.20040461],[21.45894563],[0.0156096],[0.00024565],[0.82677887],0
[1355.37592635],[23.83133659],[0.03575296],[0.0012798],[0.51903015],0
[1178.66403873],[22.81524474],[0.03153355],[0.00099902],[0.51623902],0
[394.33949671],[13.0034152],[0.02582004],[0.00067031],[0.65260307],0
[1028.2886206],[22.0450834],[0.02614482],[0.00068642],[0.50354404],0
[1020.54242288],[20.85198293],[0.03772636],[0.00142897],[0.61593792],0
[1118.91122778],[22.50291105],[0.03661709],[0.00134387],[0.5517662],0
[1050.27508705],[20.70776917],[0.04345327],[0.00188903],[0.59465078],0
[1259.24424846],[23.56185388],[0.03220859],[0.00103953],[0.54530896],0
[1297.11281599],[24.7276137],[0.03631089],[0.00132203],[0.49411978],0
[1115.29019607],[22.61733782],[0.0344675],[0.00119102],[0.55905637],0
[1156.60724465],[24.24517461],[0.01240672],[0.00015396],[0.63182239],0
[1171.61071533],[22.74582081],[0.02995619],[0.00089886],[0.54179806],0
[1500.78102956],[25.14895652],[0.03104503],[0.00096473],[0.4311416],0
[1379.49624156],[23.85547089],[0.03555717],[0.00126583],[0.40501727],0
[1380.96922042],[24.09347006],[0.04368024],[0.00190955],[0.53034591],0
[1209.65429237],[21.70419109],[0.04368],[0.00191444],[0.53973332],0
[1086.99315097],[20.73004108],[0.0440977],[0.00196039],[0.57870472],0
[1063.1325759],[22.48950681],[0.02895029],[0.00084087],[0.58840702],0
[1226.95357042],[23.1405406],[0.04416706],[0.001953],[0.63659833],0
[1276.08925748],[24.10396555],[0.03352091],[0.00112589],[0.63361421],0
[1181.50195221],[24.44614775],[0.01245495],[0.00015514],[0.6300082],0
[1137.19517797],[23.21518193],[0.02890307],[0.00083982],[0.60516995],0
[1083.9817366],[21.94193858],[0.04616275],[0.00213359],[0.58829831],0
[1065.32981124],[21.9442384],[0.03056337],[0.00093515],[0.52902798],0
[1102.94558397],[21.89895629],[0.03356566],[0.00112764],[0.62250619],0
[1142.03698158],[22.22726461],[0.02902884],[0.00084553],[0.59409594],0
[1250.94910564],[24.56188487],[0.02529397],[0.00064292],[0.54730927],0
[1287.71271685],[24.84298841],[0.03018811],[0.00091276],[0.54673731],0
[1147.06103222],[22.7104379],[0.0304387],[0.00092688],[0.58338099],0
[1094.6680069],[23.68655319],[0.01264417],[0.00015991],[0.67674199],0
[1254.86437512],[21.6973287],[0.04793108],[0.0023071],[0.44755655],0
[1245.36600057],[22.86260703],[0.03161346],[0.00100255],[0.57523203],0
[1126.20939579],[20.94497407],[0.041134],[0.00170316],[0.58749447],0
[1203.30873907],[24.37957363],[0.0303142],[0.0009219],[0.51106323],0
[1259.24347175],[24.7653546],[0.02940291],[0.00086734],[0.52605959],0
[1415.28147739],[26.01305675],[0.03193069],[0.00102238],[0.47749633],0
[1153.89684821],[22.62350072],[0.0290953],[0.0008485],[0.5823371],0
[1204.652702],[23.40066702],[0.02499154],[0.00062564],[0.58065749],0
[1300.14869217],[24.56256003],[0.0250465],[0.00062792],[0.56444759],0
[1244.07312096],[23.8237356],[0.02750173],[0.00075662],[0.5798143],0
[1259.02164501],[24.70082369],[0.01433061],[0.00020541],[0.60424088],0
[1290.65495768],[24.49877816],[0.01878733],[0.00035749],[0.67986654],0
[1240.50333876],[24.93175102],[0.01339],[0.00017967],[0.59293266],0
[1053.28030881],[23.00177054],[0.01391613],[0.00019401],[0.70641151],0
[1237.08641938],[25.18776464],[0.01294698],[0.00016783],[0.57453673],0
[1420.89412221],[27.23274709],[0.01474233],[0.00021858],[0.53634764],0
