Contrast,Dissimilarity,Energy,ASM,Correlation
[748.8878398],[18.17108177],[0.01247418],[0.00015584],[0.84746241]
[289.42464194],[11.18708316],[0.02210512],[0.00049024],[0.88465387]
[680.94372782],[15.39722357],[0.04304669],[0.00185878],[0.79415812]
[629.25871997],[14.73155553],[0.04497298],[0.00202479],[0.75688383]
[536.64619505],[13.72491476],[0.04718899],[0.00224009],[0.82130215]
[509.91324508],[14.625219],[0.04090702],[0.00167523],[0.78963801]
[752.41655642],[17.42441456],[0.0307333],[0.00094778],[0.73391699]
[795.99062747],[16.95610985],[0.04910025],[0.0024348],[0.7045031]
[969.90943933],[18.9150624],[0.03441397],[0.00119102],[0.62734718]
[870.25653264],[18.1639716],[0.04008975],[0.0016106],[0.70616376]
[719.48823042],[17.76926965],[0.01283765],[0.00016512],[0.85526513]
[457.57402964],[13.66764484],[0.01971269],[0.00038931],[0.64493654]
[697.22709114],[14.36305952],[0.0182505],[0.00033649],[0.90838966]
[766.59739054],[16.50470802],[0.04188912],[0.00175862],[0.72881535]
[650.59826509],[15.70475522],[0.03853829],[0.00149254],[0.73304667]
[153.18328775],[7.88662032],[0.03162743],[0.00100564],[0.86650569]
[583.0836628],[15.33738471],[0.03046011],[0.00093039],[0.72343962]
[566.22087667],[14.48644146],[0.04307744],[0.00186821],[0.79038274]
[606.4153937],[15.49308334],[0.04311074],[0.0018621],[0.75742288]
[585.51306988],[14.49359395],[0.04926372],[0.00243589],[0.77467029]
[766.36578671],[16.96925734],[0.03769626],[0.00143094],[0.72571344]
[736.74494828],[17.41486947],[0.04310899],[0.00186327],[0.71264715]
[605.97892694],[15.71690482],[0.04037502],[0.001634],[0.76032785]
[536.79243291],[15.2710202],[0.0150046],[0.00022553],[0.83593784]
[633.06382497],[15.55884985],[0.03621013],[0.00131643],[0.7562409]
[899.13971292],[17.94396886],[0.0388025],[0.00151873],[0.65903977]
[873.52052481],[17.34084263],[0.04212887],[0.0017868],[0.61974304]
[783.36467702],[16.53575133],[0.05369514],[0.00289639],[0.73883636]
[686.86012044],[15.07727662],[0.05271448],[0.00279741],[0.74149069]
[583.97734817],[14.15925564],[0.0535963],[0.00289289],[0.77303566]
[568.27267284],[15.38581665],[0.03601032],[0.00129952],[0.78183456]
[679.2128646],[16.05097457],[0.05283931],[0.00280813],[0.80311701]
[720.11943188],[16.82931396],[0.03967965],[0.00157849],[0.79875406]
[544.17597461],[15.42276773],[0.01478686],[0.000219],[0.83613017]
[619.34296651],[16.0291513],[0.03536321],[0.00125452],[0.78830608]
[577.88790487],[15.16126904],[0.05428047],[0.00295446],[0.78053419]
[535.87607703],[14.56213956],[0.03929103],[0.00154744],[0.76380876]
[595.10571835],[15.12522449],[0.04020815],[0.00162358],[0.79628289]
